Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,place_id
Americana,2015,Treasure Island,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJCWr8ITOAhYAR3oQ9G7Vgt9o
Americana,2015,The San Francisco School (300 Gavin St.),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJ5_LLlPl-j4ARnDDJ24yropI
Americana,2015,33 Spruce St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJGTm5JS6HhYARbj-t2D9ds4g
Americana,2015,Coi Restaurant (373 Broadway),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJtTiYCPWAhYARSG5vCAkeT0Y
Americana,2015,Foreign Cinema (2534 Mission),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJPwvLyD5-j4AR2fM8C0bbVC8
Americana,2015,Bernal Heights Park,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJVcl3jVp-j4ARlQaH_qXxBWA
Americana,2015,Jackson St. at Spruce,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,EjRKYWNrc29uIFN0ICYgU3BydWNlIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDExOCwgVVNBImYiZAoUChIJNUZR3zGHhYARc6lDveRR-90SFAoSCTVGUd8xh4WAEXOpQ73kUfvdGhQKEgnDfhDfw4CFgBFQsXmMN77xwRoUChIJGQs7SzGHhYARDqS2dRcb88giCg1VS4YWFVj7Arc
Americana,2015,679 Madrid St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJZ1-MDZB-j4ARIBfz2bqhSLY
Americana,2015,Roxie Theater (3117 16th St.),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJX6glQiJ-j4ARd6LdFTPBmJs
Americana,2015,Variety Preview Room (582 Market St.),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJXy_Z1ImAhYARn8Whli0Wf_U
Americana,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJpY9AceV9j4ARw6KjgSWbio4,ChIJn_WSbe99j4ARdwaAGSrNmgc,ChIJb1-Sbe99j4ARfvPsyxVOzxQ
Americana,2015,3232 Jackson Ave.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJRUcwkDKHhYAR8Jd--dC_Bcc
Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
